deck	type	power	question	option_1	option_2	option_3	option_4	correct_option (1-4)	correct_text (read-only)	act/chapter	pool (starter/booster)
odyssey	ATTACK	3	Odysseus survives largely by his willingness to do what?	Plunder	Assuage	Dissemble	Bemuse	3	Dissemble	Vocabulary I	booster
odyssey	ATTACK	3	“Dispatched” most nearly means:	Sent away sadly	Written down	Finished quickly	Argued about	3	Finished quickly	Vocabulary I	starter
odyssey	ATTACK	3	“Lustrous” most nearly means:	Shining and bright	Heavy, dull and clouded	Rough and worn	Faint and pale	1	Shining and bright	Vocabulary II	starter
odyssey	ATTACK	3	“Bedstead” most nearly means:	A room set aside for guests	The framework of a bed	A cover laid over a bed	A servant's sleeping mat	2	The framework of a bed	Vocabulary II	booster
odyssey	ATTACK	3	“In media res” means the story begins:	With a formal invocation to the Muse	At the hero's birth	In the middle of the action	With the ending revealed	3	In the middle of the action	Epic Conventions	starter
odyssey	ATTACK	4	In the film, what does Odysseus tell Penelope to do if he is not home before their son has a beard?	She must rule alone	She must marry again	She must sail to Sparta	She must burn his armour	2	She must marry again	Troy & Departure	starter
odyssey	ATTACK	4	What does the Cyclops do to the crew members he catches?	He enslaves them	He blinds them	He sells them	He eats them	4	He eats them	The Cyclops	starter
odyssey	ATTACK	4	Who is Telemachus?	The son of Odysseus	A suitor for Penelope	A servant of the palace	A cousin of Odysseus	1	The son of Odysseus	Ithaca	starter
odyssey	ATTACK	4	In “you terrible man, foxy, ingenious, never tired of twists and tricks,” the speaker is describing Odysseus's:	Cruelty	Cowardice	Cleverness	Generosity	3	Cleverness	Vocabulary II	booster
odyssey	ATTACK	4	Hospitality to strangers, tested again and again, is the epic's idea of:	A sacred duty owed by host and guest	A courtesy owed only to visiting kings	A custom that the gods mostly ignore	A weakness the clever learn to exploit	1	A sacred duty owed by host and guest	Epic Conventions	booster
odyssey	ATTACK	4	The Odyssey's central journey is finally about:	Conquering a foreign kingdom	Winning back the favour of Poseidon	Founding a new city overseas	Returning to and reclaiming a home	4	Returning to and reclaiming a home	Epic Conventions	booster
odyssey	BLOCK	1	In the film, how many years does the war last before the Greeks win?	Three years	Seven years	Twenty years	Ten years	4	Ten years	Troy & Departure	starter
odyssey	BLOCK	1	What island is Odysseus trying to return to?	Crete	Ithaca	Delos	Samos	2	Ithaca	Troy & Departure	starter
odyssey	BLOCK	1	Why does Odysseus first refuse to sail for Troy?	He does not trust Agamemnon	He is bound by an older oath	He believes the war cannot be won at all	He does not want to leave his family	4	He does not want to leave his family	Troy & Departure	booster
odyssey	BLOCK	1	In the film, what fault of Odysseus does Poseidon punish him for?	His pride and arrogance	His cowardice in battle	His greed for plunder	His neglect of Athena	1	His pride and arrogance	Troy & Departure	booster
odyssey	BLOCK	1	How do Odysseus and his men escape the Cyclops?	They blind his single eye and flee	They tunnel their way out of the cave	They bargain with him for safe passage	They set the mouth of the cave on fire	1	They blind his single eye and flee	The Cyclops	starter
odyssey	BLOCK	1	In the film, how does Odysseus get the Cyclops to sleep deeply?	He sings him a long old sea song	He drugs the giant’s cheese	He gives him strong unmixed wine	He waits out a long storm	3	He gives him strong unmixed wine	The Cyclops	booster
odyssey	BLOCK	1	Whose son is the Cyclops, which is why the blinding is so costly?	Zeus's son	Hades's son	Poseidon's son	The son of Helios	3	Poseidon's son	The Cyclops	booster
odyssey	BLOCK	1	On Circe's island, what are Odysseus's men turned into?	Wolves	Stones	Pigs	Birds	3	Pigs	Aeolus & Circe	starter
odyssey	BLOCK	1	Why does the wind god decide to help Odysseus?	He admires a mortal who wins by wit	He owes an old debt to grey-eyed Athena	He wishes to spite Zeus on Olympus	He is paid handsomely in Trojan gold	1	He admires a mortal who wins by wit	Aeolus & Circe	booster
odyssey	BLOCK	1	Which person from his past does Odysseus meet in the underworld?	His mother	His brother	His father	His old teacher	1	His mother	The Underworld	starter
odyssey	BLOCK	1	What island does the prophet warn Odysseus about on the way home?	Ogygia, where Calypso keeps her island hall	Thrinacia, where the sun god's cattle graze	Aiaia, where Circe rules over her beasts	Scheria, the home of the seafaring Phaeacians	2	Thrinacia, where the sun god's cattle graze	The Underworld	booster
odyssey	BLOCK	1	What is Charybdis?	A beast with six heads	An island of the lotus	A storm sent down by Zeus	A devouring whirlpool	4	A devouring whirlpool	Sea Perils	starter
odyssey	BLOCK	1	In the film, why do Calypso's attendants laugh when they see Odysseus?	He is dressed in rags	He speaks a strange language	He is the first man they have seen	He mistakes Calypso for a mortal woman	3	He is the first man they have seen	Sea Perils	booster
odyssey	BLOCK	1	What does Penelope promise to do when she finishes her weaving?	Choose a husband from the suitors	Sail to Sparta to find news	Give up the throne to her only son	Burn the hall and leave	1	Choose a husband from the suitors	Ithaca	starter
odyssey	BLOCK	1	What happens to the suitors at the end?	They are exiled	They are pardoned	They are killed	They are enslaved	3	They are killed	Ithaca	starter
odyssey	BLOCK	1	What do the suitors plan to do to Telemachus?	Kill him before he can return	Marry him to a Spartan bride	Send him away to Troy	Buy his silence with gold	1	Kill him before he can return	Ithaca	booster
odyssey	BLOCK	1	“Mammoth” most nearly means:	Enormous	Ancient	Hairy	Distant	1	Enormous	Vocabulary I	starter
odyssey	BLOCK	1	“Bereft” most nearly means:	Exhausted	Grateful	Deprived	Confused	3	Deprived	Vocabulary I	starter
odyssey	BLOCK	1	“Insidious” most nearly means:	Loud and boastful	Weak and easily frightened	Crafty and treacherous	Kind and openly generous	3	Crafty and treacherous	Vocabulary I	booster
odyssey	BLOCK	1	“Contempt” most nearly means:	Fear and worry	Envy and bitter longing	Scorn and disrespect	Hope and relief	3	Scorn and disrespect	Vocabulary I	booster
odyssey	BLOCK	1	“Pyre” most nearly means:	A stone tomb built by the sea	A large pile built for burning	A tall tower used as a beacon	A woven basket for offerings	2	A large pile built for burning	Vocabulary II	booster
odyssey	BLOCK	2	In the film, what does Odysseus say was the proudest day of his life?	The day the war was won	The day his son was born	The day he married Penelope	The day he was made king	2	The day his son was born	Troy & Departure	starter
odyssey	BLOCK	2	What is the name of the Cyclops in the Odyssey?	Prometheus	Antiphates	Laestrygon	Polyphemus	4	Polyphemus	The Cyclops	starter
odyssey	BLOCK	2	What is Circe?	A sea nymph of the rocks	A priestess of Athena	A goddess and enchantress	A queen of the Phaeacians	3	A goddess and enchantress	Aeolus & Circe	starter
odyssey	BLOCK	2	What does Odysseus demand of Circe before he will trust her?	That she return the bag of winds	That she leave her own island	That she give him a fast ship	That she swear an oath to him	4	That she swear an oath to him	Aeolus & Circe	booster
odyssey	BLOCK	2	Passing between Scylla and Charybdis forces Odysseus to do what?	Turn back and take the far longer route home	Sacrifice to Poseidon before entering the strait	Choose the loss of a few over the loss of all	Abandon the ship and swim for the far shore	3	Choose the loss of a few over the loss of all	Sea Perils	starter
odyssey	BLOCK	2	Who is the most insolent and dangerous of the suitors?	Antinous	Eumaeus	Menelaus	Elpenor	1	Antinous	Ithaca	starter
odyssey	BLOCK	2	Where does Athena send Telemachus to look for news of his father?	Troy	Sparta	Crete	Egypt	2	Sparta	Ithaca	starter
odyssey	BLOCK	2	Only one man can string the great bow. Why does that prove who he is?	It was his own bow and his own strength	The gods mark him with an unmistakable sign	Penelope recognises the arrow he chooses	The suitors confess who he is at once	1	It was his own bow and his own strength	Ithaca	booster
odyssey	BLOCK	2	What happens to Odysseus’s old dog when he returns?	It attacks the beggar	It leads him to the hall	It refuses to leave the gate	It knows him, then dies	4	It knows him, then dies	Ithaca	booster
odyssey	BLOCK	2	“Bemusing” most nearly means:	Amusing	Boring	Astonishing	Frightening	3	Astonishing	Vocabulary I	booster
odyssey	BLOCK	2	“Maudlin” most nearly means:	Deeply respectful	Openly hostile	Foolishly sentimental	Quietly thoughtful and slow	3	Foolishly sentimental	Vocabulary I	booster
odyssey	BLOCK	2	“Cunning” most nearly means:	Brave, loyal and steady	Slow and steady	Clever and tricky	Proud and loud	3	Clever and tricky	Vocabulary II	starter
odyssey	BLOCK	2	“Ingenious” most nearly means:	Honest and open	Wealthy and proud	Gentle, patient and kind	Inventive and skilful	4	Inventive and skilful	Vocabulary II	starter
odyssey	BLOCK	2	“Beetling” most nearly means:	Crawling low along the ground	Shining with a sudden light	Sinking slowly out of view	Jutting out and looming above	4	Jutting out and looming above	Vocabulary II	booster
odyssey	BLOCK	2	“Render” most nearly means:	To give or present something	To tear something in half	To repeat something exactly	To refuse something firmly	1	To give or present something	Vocabulary II	booster
odyssey	BLOCK	2	The Odyssey opens by calling on the Muse. This convention is the:	Dedication	Prologue	Invocation	Chorus	3	Invocation	Epic Conventions	booster
odyssey	BLOCK	3	The delay on Circe's island shows which recurring danger in the epic?	Comfort that makes the crew forget home	Open war against a rival Greek army	Slow starvation on an empty stretch of sea	Betrayal by Telemachus back on Ithaca	1	Comfort that makes the crew forget home	Aeolus & Circe	booster
odyssey	BLOCK	3	What do the Sirens use to lure sailors to their deaths?	A false light	Their singing	A calm harbour	A helpless cry	2	Their singing	Sea Perils	starter
odyssey	BLOCK	3	What does Odysseus give up by refusing Calypso's offer?	A fleet of ships and a full crew	A kingdom far larger than Ithaca	The lasting favour of Poseidon on the sea	Immortality and a life without hardship	4	Immortality and a life without hardship	Sea Perils	booster
odyssey	BLOCK	3	How does the old servant recognise Odysseus?	By his voice alone	By his father's ring	By the old dog waiting at the gate	By an old scar on his leg	4	By an old scar on his leg	Ithaca	starter
odyssey	BLOCK	3	Penelope's weaving trick shows that she shares which of her husband's traits?	Physical strength	Impatience	Recklessness	Cunning	4	Cunning	Ithaca	booster
odyssey	BLOCK	3	“Ardor” most nearly means:	Patience	Coldness	Silence	Passion	4	Passion	Vocabulary I	starter
odyssey	BLOCK	3	Which word best describes the suitors' attitude toward the disguised beggar?	Contempt	Ardor	Equity	Incredulity	1	Contempt	Vocabulary I	booster
odyssey	BLOCK	3	“Impetuous” most nearly means:	Slow and cautious	Hasty and careless	Cruel and cold	Quiet and shy	2	Hasty and careless	Vocabulary II	starter
odyssey	BLOCK	3	“Libation” most nearly means:	A prayer said at first dawn	A drink poured for a god	A gift of finely woven cloth	A feast held out at sea	2	A drink poured for a god	Vocabulary II	starter
odyssey	BLOCK	3	“Russet” most nearly means:	Rusted through with age	Rough to the touch	Reddish-brown in colour	Country-born and plain	3	Reddish-brown in colour	Vocabulary II	booster
odyssey	BLOCK	4	Which god becomes Odysseus's chief enemy on the voyage home?	Hermes	Apollo	Poseidon	Ares	3	Poseidon	Troy & Departure	starter
odyssey	BLOCK	4	Who is the loyal swineherd who shelters the disguised Odysseus?	Eumaeus	Antinous	Eurylochus	Alcinous	1	Eumaeus	Ithaca	starter
odyssey	BLOCK	4	Calling the suitors “overweening” frames their offence as one of:	Arrogance	Poverty	Ignorance	Laziness	1	Arrogance	Vocabulary II	booster
odyssey	BLOCK	4	Odysseus's defining flaw across the epic is best called:	Fear that delays his choices	Pride that provokes the gods	Greed that divides his crew	Anger that blinds his judgment	2	Pride that provokes the gods	Epic Conventions	booster
